route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,A20150614WKD,A20150614WKD_036150_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_048950_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_061600_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_075200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_088400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_101100_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_113900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_126800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_139900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_055950_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_068850_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_081800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_094700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_107500_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_043050_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_055350_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_068350_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_056700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_069800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_083000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_095600_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_108300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_121300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_134000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_147200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_052250_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_050150_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_062700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_013450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_027450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_040650_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_053250_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_065850_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_045250_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_058300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_071600_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_084800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_097700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_110400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_123300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_060550_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_074000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_087200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_099700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_112400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_125300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_015450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_029450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_042250_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_055050_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_067850_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_081200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_094200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_106700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_119900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_132300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_017450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_031450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_044650_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_057500_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_071000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_084200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_097200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_110000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_019450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_033450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_045850_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_058750_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_072200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_085400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_098200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_110900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_123800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_136400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_149900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_052900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_065350_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_078800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_092000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_104700_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_117900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_104300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_117400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_130300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_011450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_025450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_039050_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_051900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_064850_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_078200_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_091400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_103900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_116900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_129800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_142900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_049400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_062150_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_075800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_089000_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_101900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_114900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_127800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_140900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_105900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_118900_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_131300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_051550_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_064350_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_077600_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_090800_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_103500_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_116400_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_129300_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_009450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
1,A20150614WKD,A20150614WKD_023450_1..N02R,VAN CORTLANDT PARK - 242 ST,0,,
